start training!
epoch:  77 => train emotion accuracy: 0.9288, train depression accuracy: 0.0078
epoch:  78 => train emotion accuracy: 0.9286, train depression accuracy: 0.0078
epoch:  79 => train emotion accuracy: 0.9296, train depression accuracy: 0.0064
epoch:  80 =>  train emotion accuracy: 0.9295, train depression accuracy: 0.0070 | test emotion acc: 0.8565, test depression mae: 8.5835, test depression rmse : 10.6449
epoch:  81 => train emotion accuracy: 0.9323, train depression accuracy: 0.0085
epoch:  82 => train emotion accuracy: 0.9310, train depression accuracy: 0.0090
epoch:  83 => train emotion accuracy: 0.9338, train depression accuracy: 0.0071
epoch:  84 => train emotion accuracy: 0.9337, train depression accuracy: 0.0075
epoch:  85 => train emotion accuracy: 0.9320, train depression accuracy: 0.0059
epoch:  86 => train emotion accuracy: 0.9345, train depression accuracy: 0.0092
epoch:  87 => train emotion accuracy: 0.9360, train depression accuracy: 0.0068
epoch:  88 => train emotion accuracy: 0.9359, train depression accuracy: 0.0073
epoch:  89 => train emotion accuracy: 0.9373, train depression accuracy: 0.0092
epoch:  90 =>  train emotion accuracy: 0.9370, train depression accuracy: 0.0074 | test emotion acc: 0.8571, test depression mae: 8.0059, test depression rmse : 10.1421
epoch:  91 => train emotion accuracy: 0.9380, train depression accuracy: 0.0088
epoch:  92 => train emotion accuracy: 0.9382, train depression accuracy: 0.0063
epoch:  93 => train emotion accuracy: 0.9398, train depression accuracy: 0.0080
epoch:  94 => train emotion accuracy: 0.9381, train depression accuracy: 0.0066
epoch:  95 => train emotion accuracy: 0.9393, train depression accuracy: 0.0066
epoch:  96 => train emotion accuracy: 0.9397, train depression accuracy: 0.0050
epoch:  97 => train emotion accuracy: 0.9407, train depression accuracy: 0.0061
epoch:  98 => train emotion accuracy: 0.9427, train depression accuracy: 0.0074
epoch:  99 => train emotion accuracy: 0.9419, train depression accuracy: 0.0057
epoch: 100 =>  train emotion accuracy: 0.9436, train depression accuracy: 0.0077 | test emotion acc: 0.8594, test depression mae: 8.0733, test depression rmse : 10.3141
epoch: 101 => train emotion accuracy: 0.9424, train depression accuracy: 0.0088
epoch: 102 => train emotion accuracy: 0.9443, train depression accuracy: 0.0062
epoch: 103 => train emotion accuracy: 0.9467, train depression accuracy: 0.0075
epoch: 104 => train emotion accuracy: 0.9443, train depression accuracy: 0.0063
epoch: 105 => train emotion accuracy: 0.9441, train depression accuracy: 0.0071
epoch: 106 => train emotion accuracy: 0.9464, train depression accuracy: 0.0061
epoch: 107 => train emotion accuracy: 0.9443, train depression accuracy: 0.0064
epoch: 108 => train emotion accuracy: 0.9453, train depression accuracy: 0.0070
epoch: 109 => train emotion accuracy: 0.9460, train depression accuracy: 0.0067
epoch: 110 =>  train emotion accuracy: 0.9449, train depression accuracy: 0.0075 | test emotion acc: 0.8597, test depression mae: 8.0123, test depression rmse : 9.7324
epoch: 111 => train emotion accuracy: 0.9475, train depression accuracy: 0.0053
epoch: 112 => train emotion accuracy: 0.9471, train depression accuracy: 0.0076
epoch: 113 => train emotion accuracy: 0.9496, train depression accuracy: 0.0055
epoch: 114 => train emotion accuracy: 0.9481, train depression accuracy: 0.0064
epoch: 115 => train emotion accuracy: 0.9478, train depression accuracy: 0.0070
epoch: 116 => train emotion accuracy: 0.9493, train depression accuracy: 0.0069
epoch: 117 => train emotion accuracy: 0.9498, train depression accuracy: 0.0069
epoch: 118 => train emotion accuracy: 0.9488, train depression accuracy: 0.0065
epoch: 119 => train emotion accuracy: 0.9515, train depression accuracy: 0.0055
